com_id,label,regis_cap,month_fou,industry_code,region
壤塘县阳培畜牧产品发展有限公司,0,70.24,18,4,aba
阿坝州晟禾智慧现代农业发展有限公司,0,60.0,13,1,aba
壤塘县云杨商贸有限公司,0,50.0,16,0,aba
黑水县迪格呐机械租赁有限公司,0,50.0,15,5,aba
阿坝县星臣广告传媒有限责任公司,0,50.0,8,3,aba
阿坝州云硕信息技术有限公司,0,50.0,4,10,aba
阿坝县云上四季酒店有限公司,0,50.0,14,3,aba
阿坝县芊羽酒店有限公司,0,50.0,14,3,aba
黑水基木运输有限公司,0,30.0,17,5,aba
阿坝四季旅行社有限公司,0,30.0,16,3,aba
四川金封顶远电子科技有限公司,0,30.0,13,10,aba
黑水佳新装饰工程有限公司,0,30.0,4,7,aba
沪超比那多（黑水县）超市有限公司,0,45.1,4,10,aba
壤塘县壹叁柒陆农牧技术有限公司,0,16.0,19,9,aba
黑水县西红苏劳务专业合作社,0,15.0,18,3,aba
四川皓涵建筑劳务有限公司,0,20.0,18,7,aba
黑水县让朱劳务专业合作社,0,20.0,16,1,aba
壤塘合顺商贸有限公司,0,20.0,15,3,aba
阿坝县弘辰文化传媒有限公司,0,20.0,15,6,aba
阿坝州鑫耀阳装修工程有限责任公司,0,20.0,15,7,aba
四川藏域行旅游服务有限公司,0,20.0,6,3,aba
壤塘县雪域藏家商贸服务有限公司,0,10.0,18,0,aba
阿坝县中瑾企业服务有限公司,0,10.0,15,3,aba
壤塘县鼎晟机电维修经营部,0,1.0,20,4,aba
壤塘县发金优选生活超市（个体工商户）,0,10.0,19,0,aba
阿坝县辉鑫五金销售商行（个体工商户）,0,10.0,19,0,aba
壤塘县秀城建筑维修部（个体工商户）,0,1.0,19,7,aba
壤塘县百信四店药房加盟店（个人独资）,0,8.0,18,0,aba
壤塘县谢氏百货经营部（个人独资）,0,10.0,18,0,aba
壤塘县棒托工艺品销售有限公司,0,5.0,18,0,aba
阿坝县玖航广告传播有限责任公司,0,10.0,16,3,aba
黑水县亿年农业科技有限责任公司,0,3.0,15,1,aba
壤塘县聚鑫广告设计部（个体工商户）,0,5.0,14,3,aba
阿坝州壤塘县福地文化广告传媒有限公司,0,10.0,15,3,aba
壤塘县金源机械设备租赁服务部（个体工商户）,0,2.0,12,3,aba
壤塘县壤兴建材部（个体工商户）,0,1.0,12,0,aba
阿坝州亿欣广告传媒有限公司,0,10.0,12,3,aba
阿坝县自然雅农业科技有限公司,0,10.0,11,10,aba
阿坝县国昆电器贸易有限公司,0,10.0,9,4,aba
壤塘县赞普林卡酒店管理有限公司,0,10.0,8,2,aba
壤塘县诚信装饰维修部（个体工商户）,0,2.0,7,7,aba
黑水县强动机械租赁有限公司,0,88.0,15,3,aba
阿坝县绿航环保科技有限公司,0,50.0,15,11,aba
四川七小福旅行社有限公司,0,30.0,8,3,aba
壤塘县浩翔医疗救援服务有限责任公司,0,10.0,16,13,aba
壤塘县秀城装修工程有限责任公司,0,50.0,19,7,aba
黑水天顺同辉农业科技有限公司,0,50.0,9,9,aba
黑水佳鑫消防器材工程有限公司,0,28.0,12,0,aba
阿坝县金亿智航教育咨询有限责任公司,0,40.0,7,3,aba
阿坝县森跃达食品有限公司,0,50.0,7,0,aba
壤塘县幸福李花卉销售有限公司,0,10.0,19,0,aba
阿坝州红色文旅有限责任公司,0,30.0,11,11,aba
壤塘县虹洋广告部（个体工商户）,0,2.0,19,3,aba
阿坝州小冬农副食品商贸有限责任公司,0,1.0,10,4,aba
黑水县扎窝定点生猪屠宰有限责任公司,0,50.0,19,4,aba
阿坝县噶启成医健康科技服务有限公司,0,20.0,15,9,aba
壤塘县鑫盛五金建材机电部（个体工商户）,0,5.0,7,4,aba
阿坝县龙一康健福药店（个人独资）,0,5.0,20,0,aba
黑水县鑫隆文化娱乐有限公司,1,20.0,16,6,aba
阿坝县锦锋源建筑装饰设计工程有限责任公司,0,60.0,8,7,aba
阿坝县合惠百货商行（个体工商户）,0,8.0,6,0,aba
益丰（阿坝县）食品科技有限公司,0,30.0,16,9,aba
四川乐邦劳务有限公司,0,50.0,4,3,aba
阿坝县汇星工程管理有限公司,0,5.0,13,0,aba
阿坝州维源白油生物科技有限责任公司,0,10.0,18,9,aba
黑水县维多核桃食品有限公司,0,10.0,19,4,aba
阿坝县致腾汽车服务有限公司,0,60.0,18,3,aba
四川省诺尔斯基酒店管理有限责任公司,0,50.0,9,2,aba
阿坝县希塞生态农业专业合作社,0,10.0,18,1,aba
阿坝州诺金玛文化交流有限公司,0,10.0,15,3,aba
黑水县豪庭文化娱乐有限公司,0,50.0,18,6,aba
壤塘县文尚蔬菜批发店（个体工商户）,0,15.0,16,0,aba
阿坝县润雨农业发展农民专业合作社,0,50.0,15,1,aba
壤塘县嘉鸿农副产品商贸有限公司,0,10.0,13,4,aba
壤塘县好物集日用百货店（个人独资）,0,0.5,19,0,aba
壤塘县贡唐文旅游客接待中心（个体工商户）,0,20.0,16,2,aba
阿坝县好友多多便利店（个体工商户）,0,38.0,7,0,aba
阿坝县浙景优选生活超市（个体工商户）,0,50.0,8,0,aba
壤塘县尚雅恒新能源科技有限公司,0,10.0,15,9,aba
壤塘县作马百货销售商店（个人独资）,0,5.0,19,0,aba
壤塘县壤甲劳务服务经营部（个人独资）,0,40.0,17,3,aba
壤塘县昌鼎粮油有限公司,1,10.0,19,0,aba
四川荣信远达供应链科技有限公司,0,50.0,4,5,aba
壤塘县浙川日化用品有限公司,0,10.0,19,0,aba
阿坝县芊树酒店有限公司,0,10.0,20,3,aba
阿坝州华旺新能源有限公司,0,50.0,12,9,aba
壤塘县圣力建筑劳务经营部（个人独资）,0,10.0,17,7,aba
阿坝县龙一众康药店（个人独资）,0,5.0,15,0,aba
四川太古麟酒店管理有限责任公司,0,50.0,15,2,aba
黑水县新谷丰家庭农场（个人独资）,0,50.0,20,1,aba
阿坝县坝西农业发展有限公司,0,50.0,15,0,aba
阿坝县金穗农产品开发有限公司,0,10.0,20,9,aba
壤塘县福旺食品销售有限公司,0,20.0,18,2,aba
阿坝锦亿酒店有限公司,0,10.0,13,2,aba
四川羊茸哈德同富租赁有限公司,0,50.0,7,8,aba
阿坝州壤塘县杰尕扎尔甲利众慈谊百货店（个人独资）,0,5.0,19,0,aba
壤塘县尚南天路劳务服务有限公司,0,10.0,9,3,aba
黑水县维民劳务专业合作社,0,10.0,19,1,aba
黑水县刃嵴户外向导服务有限公司,0,5.0,11,6,aba
黑水县泽盖砖厂建材销售有限责任公司,0,30.0,13,0,aba
阿坝县泰恒商贸有限公司,0,10.0,5,0,aba
壤塘县草原工程建筑商务有限公司,0,5.0,12,7,aba
黑水县合元劳务专业合作社,0,10.0,20,1,aba
阿坝县康正利他大药房（个人独资）,0,5.0,10,0,aba
阿坝县康正爱健大药房（个人独资）,0,5.0,9,0,aba
四川三合诚信装修有限公司,0,10.0,16,7,aba
阿坝县鹿羊种养殖专业合作社,0,10.0,5,1,aba
壤塘县紫更婆婆农业科技发展有限责任公司,0,30.0,8,4,aba
壤塘县华家休闲食品店（个人独资）,0,0.5,19,0,aba
壤塘县阿斯玛租赁服务部（个人独资）,0,10.0,18,3,aba
阿坝县康正健福大药房（个人独资）,0,5.0,12,0,aba
壤塘县肖沃龙机械租赁有限公司,0,50.0,17,3,aba
阿坝县佳兴广告传媒店（个体工商户）,0,10.0,14,3,aba
阿坝县贰加壹二手车销售有限公司,0,50.0,18,3,aba
阿坝州壤塘噶拉巴藏香文化传习所文化传播有限公司,0,10.0,15,6,aba
阿坝县龚璞仓体育俱乐部有限公司,0,30.0,10,6,aba
阿坝县东创机械租赁经营部（个体工商户）,0,5.0,15,3,aba
阿坝县康正福康盛药房（个人独资）,0,5.0,15,0,aba
阿坝智科技术服务部（个体工商户）,0,10.0,6,10,aba
壤塘县壤源农产品销售有限责任公司,0,10.0,19,0,aba
壤塘县所欲百货批发有限责任公司,0,65.0,17,0,aba
阿坝圣安机械租赁有限公司,0,5.0,9,3,aba
黑水格里让家庭农场（个人独资）,0,50.0,9,1,aba
阿坝县重亚克健身服务有限公司,0,20.0,6,6,aba
阿坝县涵冰供销合作社有限责任公司,0,50.0,17,3,aba
阿坝县恒甲体育赛事策划馆（个人独资）,0,50.0,20,6,aba
四川省吉祥农业农民专业合作社,0,5.0,12,1,aba
阿坝县浠岸酒店管理有限公司,0,20.0,16,3,aba
壤塘县博燚广告有限公司,0,40.0,10,3,aba
黑水县初学家庭农场（个人独资）,0,10.0,16,1,aba
壤塘县景天生态农业发展有限公司,0,30.0,9,1,aba
壤塘县方圆生鲜批发超市（个人独资）,0,20.0,8,0,aba
阿坝县岗吉茶叶有限公司,0,80.0,13,0,aba
四川栖焱农业科技有限公司,0,50.0,11,9,aba
阿坝县亿联商贸有限公司,0,10.0,9,4,aba
阿坝县华梦达建筑工程设计有限公司,0,80.0,6,9,aba
阿坝县众康健生药店（个人独资）,0,10.0,4,0,aba
四川省重泰建筑机械租赁有限责任公司,0,10.0,16,3,aba
阿坝县越来越好商贸有限公司,0,30.0,9,0,aba
壤塘县三头牦头农产品中心（个人独资）,0,20.0,8,0,aba
壤塘县神木商业科技服务中心（个体工商户）,0,5.0,4,9,aba
阿坝县川遇航文化艺术有限责任公司,0,5.0,16,6,aba
阿坝县欣和创新能源有限公司,0,50.0,7,9,aba
黑水县洛哩措文旅有限责任公司,0,20.0,12,3,aba
黑水县达农滋补品店（个体工商户）,0,20.0,8,0,aba
黑水县丰淼商贸有限责任公司,0,50.0,8,0,aba
壤塘县不凡广告传媒店（个体工商户）,0,50.0,5,4,aba
壤塘县壤巴拉藏文文化艺术工作室（个人独资）,0,10.0,19,6,aba
黑水县三业建筑工程机械租赁有限公司,0,20.0,4,3,aba
阿坝县余粮农牧有限公司,0,20.0,13,0,aba
壤塘县宏胜建筑材料有限公司,0,10.0,19,4,aba
阿坝县缇妖叁演艺有限责任公司,0,40.0,19,6,aba
黑水县咱家家庭农场（个人独资）,0,50.0,16,1,aba
阿坝县炉新建设安装工程有限责任公司,0,50.0,13,7,aba
阿坝县贡哇玛百货店（个体工商户）,0,5.0,4,0,aba
壤塘县央洛食品销售门市部（个人独资）,0,10.0,19,0,aba
壤塘县金诃藏香行（个人独资）,0,3.0,20,0,aba
阿坝县夺兰便利店（个体工商户）,0,5.0,16,0,aba
四川省极地天下农业科技有限公司,0,50.0,11,1,aba
阿坝县峰云忠尚农业科技有限公司,0,5.0,10,9,aba
黑水县宏鑫达酒水商贸有限公司,0,50.0,19,0,aba
阿坝县义合百货店（个体工商户）,0,8.0,7,0,aba
阿坝瑞祥机械租赁有限公司,0,10.0,16,3,aba
壤塘县索旺综合商店（个体工商户）,0,6.0,19,0,aba
阿坝县鑫萌娱乐有限责任公司,0,10.0,16,6,aba
阿坝县伦坤酒店管理有限公司,0,20.0,15,3,aba
阿坝县了不起商贸有限公司,0,10.0,9,0,aba
黑水扎西龙卡机械租赁有限公司,0,50.0,19,3,aba
阿坝县领家便利店（个体工商户）,0,20.0,4,0,aba
壤塘县胜庄严服装批发店（个人独资）,0,10.0,19,0,aba
阿坝县欣怡百货店（个体工商户）,0,8.0,10,0,aba
阿坝县伊品源牦牛肉销售有限公司,0,50.0,10,0,aba
阿坝县桑氏五金日杂商行（个体工商户）,0,5.0,7,0,aba
黑水县养心沙卡乡村旅游农民专业合作社,0,5.0,16,1,aba
壤塘县圣圣聚百货商店（个体工商户）,0,15.0,15,0,aba
阿坝州万利兴货物运输服务有限公司,0,10.0,10,5,aba
阿坝县俊熙信息技术咨询服务店（个体工商户）,0,1.0,15,15,aba
壤塘县泽让甲百货店（个体工商户）,0,15.0,16,0,aba
阿坝县昶玖盛电动车销售有限责任公司,0,5.0,12,0,aba
阿坝春归机械租赁有限公司,0,50.0,4,3,aba
壤塘县浙丽休闲食品有限公司,0,10.0,19,0,aba
阿坝县疏炉厨具经营店（个体工商户）,0,20.0,20,0,aba
阿坝州尕尔仓手艺术品有限公司,0,50.0,19,0,aba
壤塘县旺登日用百货店（个人独资）,0,5.0,19,0,aba
黑水七色纺百货店（个体工商户）,0,60.0,19,3,aba
阿坝无问户外运动有限公司,0,20.0,16,6,aba
黑水县五金保家庭农场（个人独资）,0,50.0,15,1,aba
阿坝山莨菪农业发展合伙企业（有限合伙）,0,50.0,14,1,aba
阿坝县勤耕农收种养殖有限公司,0,6.0,10,1,aba
黑水宝佳机械租赁有限公司,0,50.0,8,3,aba
阿坝县极维手机维修店（个体工商户）,0,5.0,15,3,aba
壤塘县千元二手车车行（个人独资）,0,20.0,15,0,aba
阿坝州阿坝县卡雅拿达体育发展有限公司,0,5.0,12,6,aba
阿坝县力成达建材有限公司,0,50.0,10,8,aba
阿坝县一家便利店（个体工商户）,0,20.0,10,0,aba
壤塘县云端小卖部（个体工商户）,0,5.0,7,0,aba
壤塘县乐吃派食品店（个人独资）,0,0.5,19,0,aba
壤塘县三哥食品销售铺（个人独资）,0,5.0,19,0,aba
壤塘县添辰假日酒店（个人独资）,0,50.0,7,2,aba
壤塘县拉板商贸有限公司,0,50.0,19,0,aba
阿坝县进栎酒店管理有限公司,0,20.0,15,3,aba
阿坝县韩食记餐饮管理有限公司,0,68.0,8,3,aba
壤塘县旺休百货店（个体工商户）,0,6.0,20,0,aba
阿坝县誉同美商贸有限公司,0,3.0,9,1,aba
壤塘县私房火锅餐饮文化有限责任公司,0,80.0,7,2,aba
壤塘县卓玛家服装零售店（个人独资）,0,20.0,17,0,aba
